연번,업소명,소재지도로명,소재지지번,업태명,영업장면적
85,삼소락,"서울특별시 서초구 방배천로 17, 1층 (방배동, 주건축물제1동)","서울특별시 서초구 방배동  444번지 2호  1층, 주건축물제1동",한식,165.05
86,곤드레집,"서울특별시 서초구 청룡마을1길 1, 1층,2층 (신원동)","서울특별시 서초구 신원동  195번지 16호  1층,2층",한식,155
87,동지섣달 꽃본듯이,"서울특별시 서초구 원터6길 3, (원지동,지상 2층)",서울특별시 서초구 원지동  419번지  지상 2층,한식,92.4
88,여의도생고기,"서울특별시 서초구 신흥말길 27-9, 1층 (내곡동)",서울특별시 서초구 내곡동  1번지 273호  (지상1층),분식,179.08
89,소호정,"서울특별시 서초구 논현로 27, (양재동,(1,2층))","서울특별시 서초구 양재동  392번지 11호  (1,2층)",분식,216.29
90,사랑채,"서울특별시 서초구 언남길 15-6, (양재동,1층)",서울특별시 서초구 양재동  320번지 4호  1층,한식,243.69
91,초원복집,"서울특별시 서초구 서초대로46길 16, 1층 (서초동)",서울특별시 서초구 서초동  1552번지 18호  1층,복어취급,100.42
92,신박사 콩사랑,"서울특별시 서초구 반포대로23길 30, 1층 (서초동)",서울특별시 서초구 서초동  1503번지 15호  1층,한식,115.5
93,디오디아(DIODIA),"서울특별시 서초구 강남대로 213, 5층 (양재동, 스포타임)",서울특별시 서초구 양재동  24번지  스포타임 5층,뷔페식,1639.55
94,부일갈비,"서울특별시 서초구 서초중앙로2길 42, 101호 (서초동)",서울특별시 서초구 서초동  1427번지 6호  -101,한식,263.36
95,유라 한정식,"서울특별시 서초구 원터길 22, 1층 (원지동)",서울특별시 서초구 원지동  375번지 5호  1층,한식,131.85
96,수미관,"서울특별시 서초구 서초중앙로2길 38, 1층 (서초동)",서울특별시 서초구 서초동  1427번지 5호  1층,한식,297
97,청정해참치,"서울특별시 서초구 강남대로 221, (양재동,환승주차장 201호)",서울특별시 서초구 양재동  23번지 0호  환승주차장 201호,일식,39.66
98,순남시래기,"서울특별시 서초구 강남대로39길 15-10, 지하1층 103-1호 (서초동, 한라비발디스튜디오193)",서울특별시 서초구 서초동  1363번지 25호  지하1층 103-1호,한식,130.81
99,부안애서,"서울특별시 서초구 남부순환로347길 101, 1층 103호 (서초동)",서울특별시 서초구 서초동  1341번지 7호  1층 103호,한식,155
100,전주가,"서울특별시 서초구 법원로1길 1, 서호빌딩 지하1층 103호 (서초동)",서울특별시 서초구 서초동  1717번지 4호  지하1층-103,한식,0
101,강남역 파스타,"서울특별시 서초구 서초대로73길 24, (서초동)",서울특별시 서초구 서초동  1307번지 4호  ,경양식,477.02
